question_id,question,correct_answer,relevant_doc_ids,category,difficulty,should_have_citation,expected_retrieval_keywords
mixed_006,What cryptocurrency services does the bank offer?,I don't have that information,,unknown,easy,False,cryptocurrency|crypto|bitcoin
business_extra_001,What's included with business checking?,Online banking and bill pay included,business_account_fees,business_services,easy,True,business|checking|included|online
security_extra_002,What authentication is required for online banking?,Two-factor authentication required for online banking,security_fraud_protection,security_services,easy,True,authentication|online|banking|two-factor
fees_005,What's the maximum overdraft fees per day?,Maximum 4 fees per day ($140 total),overdraft_nsf_fees,fees_charges,medium,True,overdraft|fee|maximum|daily
deposit_001,What's the daily mobile check deposit limit for new accounts?,"$2,500 daily limit for new accounts (less than 90 days)",mobile_deposit_limits,deposit_services,easy,True,mobile|deposit|daily|limit|new
loan_extra_001,What's the APR range for auto loans on new vehicles?,3.49% - 18.99% APR for new vehicles,loan_interest_rates,lending_products,easy,True,auto|loan|apr|new|vehicle
business_extra_003,How many free transactions do business accounts get?,"200 free transactions, then $0.50 per debit",business_account_fees,business_services,medium,True,business|transaction|free|debit
wire_003,When are weekend wire transfers processed?,Weekend and holiday wires are processed on the next business day,wire_transfer_policy,wire_transfers,medium,True,wire|weekend|holiday|business day
deposit_005,How do mobile deposit limits differ between new and established accounts?,"New accounts: $2,500 daily/$5,000 weekly. Established accounts: $10,000 daily/$25,000 weekly",mobile_deposit_limits,deposit_services,hard,True,mobile|deposit|limit|new|established|daily|weekly
wire_002,What's the fee for outgoing international wire transfers?,$45 for international outgoing wire transfers,wire_transfer_policy,wire_transfers,easy,True,wire|international|fee|outgoing
loan_extra_003,What are personal loan terms?,Personal loans: terms 2-7 years,loan_interest_rates,lending_products,easy,True,personal|loan|terms|years
deposit_003,When do mobile deposits need to be made for next-day availability?,Deposits must be made before 9:00 PM EST for next-day availability,mobile_deposit_limits,deposit_services,medium,True,mobile|deposit|cutoff|availability|next-day
fees_001,What's the overdraft fee amount?,"$35 per item, maximum 4 fees per day ($140)",overdraft_nsf_fees,fees_charges,easy,True,overdraft|fee|amount
atm_002,How many ATMs are in the free network?,"55,000+ ATMs nationwide through our network",atm_network_fees,atm_services,easy,True,atm|network|free|nationwide
credit_extra_002,What purchase protections come with the credit card?,Purchase protection and extended warranty included,credit_card_rewards,credit_products,medium,True,credit card|purchase|protection|warranty
benefits_004,What customer service benefits do Premier customers receive?,Priority customer service,premier_checking_benefits,account_benefits,medium,True,premier|customer|service|priority
benefits_003,Do Premier Checking customers get free wire transfers?,"Yes, Premier Checking customers receive free wire transfers",premier_checking_benefits,account_benefits,easy,True,premier|wire|free|transfer
fees_004,How much does overdraft protection cost?,$10 per month for overdraft protection,overdraft_nsf_fees,fees_charges,easy,True,overdraft|protection|cost|monthly
mixed_003,What fraud protection does the bank provide?,"24/7 fraud monitoring, zero liability protection for unauthorized transactions reported within 60 days, account alerts, two-factor authentication",security_fraud_protection,security_services,hard,True,fraud|protection|monitoring|unauthorized|alerts
benefits_005,What are all the benefits of Premier Checking?,"Unlimited ATM fee reimbursements worldwide, free wire transfers, priority customer service, and waived monthly maintenance fees",premier_checking_benefits,account_benefits,hard,True,premier|benefits|atm|wire|service|maintenance
security_extra_001,How long do I have to report unauthorized transactions?,Within 60 days for zero liability protection,security_fraud_protection,security_services,medium,True,unauthorized|transaction|report|days
fees_002,When are overdraft fees waived?,"Fees waived for customers with $500+ monthly direct deposit or $1,500 average daily balance",overdraft_nsf_fees,fees_charges,medium,True,overdraft|fee|waived|direct deposit|balance
unknown_extra_001,What are the mortgage refinancing rates?,I don't have that information,,unknown,easy,False,mortgage|refinancing|rates
wire_001,What's the cut-off time for same-day domestic wire transfers?,2:00 PM EST,wire_transfer_policy,wire_transfers,easy,True,wire|domestic|cutoff|same-day
deposit_002,What's the weekly mobile deposit limit for established accounts?,"$25,000 weekly limit for established accounts",mobile_deposit_limits,deposit_services,medium,True,mobile|deposit|weekly|limit|established
loan_extra_002,What's the rate for home equity loans?,Prime + 0.25% variable rate for home equity loans,loan_interest_rates,lending_products,medium,True,home|equity|loan|rate|prime
complex_002,What's the difference between NSF and overdraft fees?,"Both are $35 per item. Overdraft covers the transaction, NSF returns it unpaid. Maximum 4 overdraft fees per day.",overdraft_nsf_fees,fees_charges,hard,True,nsf|overdraft|fee|difference|returned
benefits_001,How many ATM fee reimbursements do Premier Checking customers get?,Unlimited ATM fee reimbursements worldwide,premier_checking_benefits,account_benefits,easy,True,premier|atm|reimbursement|unlimited
savings_extra_002,"What's the High-Yield Savings rate for balances over $50,000?","0.50% APY on amounts above $50,000",savings_account_rates,savings_products,medium,True,high-yield|savings|balance|over
mixed_008,Compare Premier Checking ATM benefits with standard ATM fees,"Premier Checking: unlimited ATM fee reimbursements. Standard: $3.50 out-of-network, $5.00 international plus 3% exchange fee",premier_checking_benefits|atm_network_fees,account_comparison,hard,True,premier|atm|fee|reimbursement|out-of-network
business_extra_002,What are the business wire transfer fees?,"$30 domestic, $50 international wire fees for business accounts",business_account_fees,business_services,medium,True,business|wire|fee|domestic|international
wire_005,How much does it cost to send a domestic wire transfer?,$25 for domestic wire transfers,wire_transfer_policy,wire_transfers,easy,True,wire|domestic|fee|cost
credit_extra_003,How can I redeem credit card rewards?,"Statement credit, direct deposit, or gift cards",credit_card_rewards,credit_products,easy,True,credit card|rewards|redeem
mixed_002,What credit card rewards does the bank offer?,"2% cash back on all purchases, 3% on gas and groceries, 5% on rotating quarterly categories",credit_card_rewards,credit_products,medium,True,credit card|rewards|cash back|categories
mixed_005,What are the business checking account fees?,"$15/month, waived with $5,000 balance. Transaction fees: $0.50 per debit after 200 free transactions",business_account_fees,business_services,medium,True,business|checking|fee|monthly|transaction
security_extra_003,Does the bank provide identity theft services?,"Yes, identity theft resolution services included",security_fraud_protection,security_services,easy,True,identity|theft|services|resolution
atm_003,What are the international ATM fees?,$5.00 per transaction plus 3% foreign exchange fee,atm_network_fees,atm_services,medium,True,atm|international|fee|foreign|exchange
atm_001,What's the out-of-network ATM fee?,$3.50 per transaction for out-of-network ATMs,atm_network_fees,atm_services,easy,True,atm|out-of-network|fee
savings_extra_001,What's the APY for Standard Savings accounts?,0.01% APY on all balances,savings_account_rates,savings_products,easy,True,savings|apy|standard
mixed_007,What are the foreign transaction fees on the credit card?,0% foreign transaction fees,credit_card_rewards,credit_products,easy,True,credit card|foreign|transaction|fee
atm_004,Do Premier customers pay ATM fees?,"No, Premier customers receive unlimited fee reimbursements",atm_network_fees|premier_checking_benefits,atm_services,medium,True,premier|atm|fee|reimbursement
complex_001,"If I have Premier Checking, what wire transfer and ATM benefits do I get?",Free wire transfers and unlimited ATM fee reimbursements worldwide,premier_checking_benefits,account_benefits,medium,True,premier|wire|atm|free|reimbursement
mixed_004,What's the APR range for personal loans?,"6.99% - 24.99% APR based on creditworthiness, terms 2-7 years",loan_interest_rates,lending_products,easy,True,personal|loan|apr|rate
savings_extra_003,How often are savings account rates updated?,Rates updated monthly,savings_account_rates,savings_products,easy,True,savings|rates|updated|monthly
fees_003,What's the NSF fee for returned items?,$35 per returned item,overdraft_nsf_fees,fees_charges,easy,True,nsf|fee|returned|item
